Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
17284179,longhorn steakhouse,216,albany,"2733 dawson rd, albany, ga 31707",albany,"albany, albany",-84.2229,31.6185,"american, steak",25.0,dollar($),no,no,no,no,2,3.5,yellow,good,58
17284197,mikata japanese steakhouse,216,albany,"2610 dawson rd, albany, ga 31707",albany,"albany, albany",-84.2164,31.6137,"japanese, steak, sushi",40.0,dollar($),no,no,no,no,3,3.6,yellow,good,115
17284241,shogun japanese steak house,216,albany,"629 n westover blvd, albany, ga 31707",albany,"albany, albany",-84.2233,31.6118,"japanese, steak, sushi",40.0,dollar($),no,no,no,no,3,3.5,yellow,good,51
17284390,the catch seafood room & oyster bar,216,albany,"2332 whispering pines road, albany, ga 31707",albany,"albany, albany",-84.205025,31.605882,"seafood, tapas, bar food",40.0,dollar($),no,no,no,no,3,3.8,yellow,good,250
17284279,villa gargano,216,albany,"1604 n slappey blvd, albany, ga 31701",albany,"albany, albany",-84.1757,31.5985,"italian, pizza",10.0,dollar($),no,no,no,no,1,3.7,yellow,good,117
17284364,3 squares diner,216,albany,"202 w franklin st, sylvester, ga 31791",sylvester,"sylvester, albany",-83.8389,31.5308,"american, breakfast, diner",10.0,dollar($),no,no,no,no,1,3.4,orange,average,20
16611114,whitebull hotel,14,armidale,"117 marsh st, armidale, nsw",armidale,"armidale, armidale",151.6688792,-30.5147169,"bar food, steak",20.0,dollar($),no,no,no,no,2,3.5,yellow,good,25
17293281,last resort grill,216,athens,"184 w clayton st, athens, ga 30601",athens,"athens, athens",-83.378273,33.957999,"american, southern, southwestern",40.0,dollar($),no,no,no,no,3,4.5,dark green,excellent,1821
17293301,mama's boy restaurant,216,athens,"197 oak st, ga 30601",athens,"athens, athens",-83.3654,33.9535,southern,10.0,dollar($),no,no,no,no,1,4.5,dark green,excellent,849
17293409,sr. sol 1,216,athens,"175 tallassee rd, athens, ga 30606",athens,"athens, athens",-83.4293,33.9652,mexican,10.0,dollar($),no,no,no,no,1,4.6,dark green,excellent,917
17293163,choo choo eastside,216,athens,"1055 gaines school rd ste 100, athens, ga 30605",athens,"athens, athens",-83.3389,33.9259,"japanese, korean",10.0,dollar($),no,no,no,no,1,3.9,yellow,good,439
17293228,the grill,216,athens,"171 college ave, athens, ga 30601",athens,"athens, athens",-83.375523,33.958198,"breakfast, burger, sandwich",10.0,dollar($),no,no,no,no,1,3.7,yellow,good,289
